,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Bat,Terrestrial PAR,Terrestrial PAR mv,Underwater PAR,Underwater PAR mv,Chlorophyll,Chlorophyll mv,1m Temperature,1m DOSat,1m DO,3m Temperature,3m DOSat,3m DO,5m Temperature,5m DOSat,5m DO,7m Temperature,7m DOSat,7m DO,9m Temperature,9m DOSat,9m DO,11m Temperature,11m DOSat,11m DO,13m Temperature,13m DOSat,13m DO,AirTemp,RH,Rel. BP,WindSp,Max WindSp,WindDir,Wet Bulb Temp,Precip Type,RainInten,TotalRain,IntvRain,SolarRad,Head
m/d/y,V,µmol/s/m²,mV,µmol/s/m²,mV,µg/L,mV,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,hPa,m/s,m/s,Degree,C,,mm/h,mm,mm,W/m²,Degree
7/30/2017 7:15,13.6,494.334,1.969,69.593,0.294,2.368,23.682,23.95,229.4,19.32,24.03,99.5,8.36,20.54,90.1,8.12,15.3,100,10.06,13.16,10.8,1.14,12.51,2.3,0.25,11.96,100,10.85,15.7,73,1002.6,1.1,1.7,303,12.9,0,0,231.7,0,1000,313
7/30/2017 7:30,13.5,572.286,2.28,91.953,0.389,1.556,15.558,23.95,230.6,19.42,24.03,99.5,8.37,20.71,91.2,8.19,15.28,100,10.07,13.21,11.3,1.2,12.57,2.8,0.3,11.95,100,10.86,16.1,74,1002.7,1.4,2.2,324,13.4,0,0,231.7,0,1000,313
7/30/2017 7:45,14,683.855,2.724,108.291,0.458,2.296,22.959,23.95,232.3,19.56,24.03,100.3,8.43,20.65,90.5,8.14,15.27,100,10.07,13.21,12.2,1.29,12.46,1.4,0.15,11.95,100,10.86,16.7,75,1002.8,1.5,2.3,342,14,0,0,231.7,0,1000,313
7/30/2017 8:00,13.9,790.001,3.147,126.392,0.534,2.221,22.212,23.95,231.7,19.51,24.03,99.9,8.4,20.69,91.1,8.18,15.25,100,10.07,13.26,12.7,1.34,12.45,1.2,0.13,11.96,100,10.85,17.4,70,1003,1.1,2,9,14,0,0,231.7,0,1000,313
7/30/2017 8:15,13.9,877.893,3.497,163.423,0.69,2.379,23.788,23.95,233.2,19.64,24.03,100,8.41,20.77,91.4,8.19,15.28,100,10.07,13.27,13,1.37,12.44,1.5,0.16,11.96,100,10.85,18,70,1003,0.5,1.6,356,14.6,0,0,231.7,0,1000,313
7/30/2017 8:30,13.7,978.83,3.899,194.442,0.822,2.083,20.829,23.96,232.4,19.57,24.04,99.8,8.39,20.6,90.6,8.15,15.32,100,10.06,13.24,12.7,1.34,12.44,1.4,0.15,11.93,100,10.86,18.4,60,1003,1.4,2.1,316,13.8,0,0,231.7,0,1000,313
7/30/2017 8:45,13.9,1061.186,4.227,212.675,0.899,2.154,21.544,23.97,232.6,19.58,24.03,100.6,8.46,20.76,91.5,8.21,15.33,100,10.06,13.29,13.2,1.39,12.4,1.1,0.12,11.92,100,10.86,19.1,61,1003.1,1.8,3.3,344,14.6,0,0,231.7,0,1000,313
7/30/2017 9:00,13.8,1147.666,4.572,257.783,1.089,2.072,20.722,23.99,233.7,19.67,24.03,100.5,8.45,20.77,92.1,8.26,15.35,100,10.05,13.33,13.6,1.44,12.4,1.1,0.12,11.92,100,10.86,19.8,58,1003.1,3.5,5.1,329,14.7,0,0,231.7,0,1000,313
7/30/2017 9:15,14.2,1234.539,4.918,320.878,1.356,2.075,20.754,23.96,251.3,21.16,24.04,102.5,8.62,20.76,92,8.25,15.37,100,10.05,13.34,14.2,1.49,12.41,1.2,0.13,11.92,100,10.86,20.3,55,1003.1,5.4,7.6,327,14.7,0,0,231.7,0,1000,313
7/30/2017 9:30,13.8,1306.656,5.205,287.893,1.216,2.012,20.117,23.96,254.6,21.44,24.04,103.1,8.67,20.77,91.7,8.23,15.32,100,10.06,13.37,14.4,1.52,12.51,1.9,0.21,11.93,100,10.86,20.4,54,1003.2,4.7,6,337,14.7,0,0,231.7,0,1000,313
7/30/2017 9:45,14.2,1398.317,5.571,202.095,0.854,2.033,20.328,23.96,254,21.39,24.04,102.8,8.64,20.78,91,8.16,15.37,100,10.05,13.26,12.7,1.33,12.44,1.5,0.16,11.96,100,10.85,20.4,57,1003.2,6.3,7.6,328,15.1,0,0,231.7,0,1000,313
7/30/2017 10:00,13.4,1433.187,5.709,348.457,1.472,2.037,20.366,23.95,257.3,21.67,24.04,103.2,8.68,20.69,90.3,8.11,15.35,100,10.05,13.2,11.6,1.23,12.47,1.6,0.18,11.96,100,10.85,20.4,54,1003.2,5.9,7.2,334,14.6,0,0,231.7,0,1000,313
7/30/2017 10:15,13.6,1494.952,5.956,325.242,1.374,2.023,20.228,23.95,251.9,21.22,24.04,103.2,8.68,20.79,92.2,8.27,15.31,100,10.06,13.1,10.6,1.12,12.45,1.5,0.16,11.96,100,10.85,20.5,49,1003.2,5.2,6.4,325,14.1,0,0,231.7,0,1000,313
7/30/2017 10:30,13.4,1558.438,6.208,597.335,2.524,2.049,20.489,23.96,253.1,21.32,24.04,102.7,8.64,20.77,91,8.16,15.37,100,10.05,13.18,11.5,1.21,12.38,0.7,0.07,11.92,100,10.86,20.6,47,1003.3,5.4,8,355,13.8,0,0,231.7,0,1000,313
7/30/2017 10:45,13.6,1613.946,6.43,488.375,2.063,2.03,20.302,23.96,255,21.47,24.04,103.1,8.67,20.35,87.2,7.88,15.35,100,10.05,13.09,10.3,1.09,12.44,1,0.11,11.95,100,10.85,20.6,52,1003.3,4.2,5.7,335,14.5,0,0,231.7,0,1000,313
7/30/2017 11:00,13.5,1792.199,7.14,452.745,1.913,1.973,19.726,24,254.8,21.44,24.04,103.2,8.68,20.66,89.9,8.08,15.29,100,10.07,13.09,9.9,1.05,12.4,0.7,0.08,11.97,100,10.85,20.8,52,1003.4,5.1,6.8,0,14.8,0,0,231.7,0,1000,313
7/30/2017 11:15,13.6,645.319,2.571,138.974,0.587,2.168,21.68,24.04,256.7,21.58,24.04,103.1,8.67,20.55,88.3,7.95,15.39,100,10.04,13.18,10.7,1.13,12.37,0.7,0.07,11.91,100,10.86,20.8,55,1003.3,4.5,5.5,341,15.1,0,0,231.7,0,1000,313
7/30/2017 11:30,13.4,2270.571,9.045,584.701,2.47,1.954,19.539,24.06,253.5,21.31,24.05,103.4,8.69,20.46,87.8,7.92,15.57,100,10,13.21,11.5,1.21,12.29,0,0,11.9,100,10.87,20.9,50,1003.4,3.7,5,329,14.5,0,0,231.7,0,1000,313
7/30/2017 11:45,13.6,1831.493,7.296,517.762,2.188,2.013,20.13,24.09,249.8,20.98,24.05,103.3,8.68,20.66,90.9,8.17,15.46,100,10.03,13.24,12.1,1.28,12.4,0.6,0.07,11.92,100,10.86,21.1,49,1003.3,3.2,4.7,6,14.5,0,0,231.7,0,1000,313
7/30/2017 12:00,13.4,1829.445,7.288,555.41,2.347,1.992,19.924,24.19,250.9,21.04,24.05,103.3,8.69,20.6,90.8,8.17,15.55,100,10.01,13.26,12.7,1.34,12.41,0.6,0.07,11.96,100,10.85,21.4,51,1003.2,4.9,8.1,340,15.1,0,0,231.7,0,1000,313
7/30/2017 12:15,13.6,1979.205,7.885,584.348,2.469,2.003,20.033,24.15,251.9,21.13,24.05,103.6,8.71,20.73,93.1,8.36,15.81,100,9.95,13.32,13.4,1.41,12.41,0.7,0.07,11.97,100,10.85,21,43,1003.1,1.3,2.6,332,13.5,0,0,231.7,0,1000,313
7/30/2017 12:30,13.4,944.1,3.761,335.311,1.417,2.068,20.683,24.24,243.7,20.41,24.05,103.1,8.66,20.79,94.8,8.5,15.59,100,10,13.45,13.9,1.46,12.5,1.5,0.16,12.01,100,10.84,21.4,58,1003,1.8,7.6,319,16.1,0,0,231.7,0,1000,313
7/30/2017 12:45,13.9,1841.565,7.336,521.597,2.204,2.122,21.218,24.31,248.1,20.75,24.05,103.2,8.67,20.99,95.9,8.57,15.44,100,10.03,13.45,13.8,1.45,12.62,2.5,0.26,12.01,100,10.84,21.6,46,1003.2,3,4.2,315,14.5,0,0,231.7,0,1000,313
7/30/2017 13:00,13.4,492.155,1.961,116.429,0.492,2.163,21.625,24.31,251.1,20.99,24.06,103.7,8.72,21.4,98.2,8.69,15.7,100,9.98,13.62,16.3,1.7,12.71,4,0.42,12.01,100,10.84,21.7,52,1003.2,2.9,4.2,313,15.5,0,0,231.7,0,1000,313
7/30/2017 13:15,13.9,1867.206,7.438,602.079,2.544,1.998,19.98,24.35,250.3,20.92,24.06,103.5,8.7,22.04,99.5,8.7,15.84,100,9.95,13.36,15,1.58,12.82,5.4,0.57,12.02,100,10.84,21.9,51,1003.3,4.4,6.8,337,15.5,0,0,231.7,0,1000,313
7/30/2017 13:30,13.7,1942.118,7.737,583.202,2.464,2.055,20.555,24.43,248.2,20.71,24.06,103.3,8.68,22.15,99.6,8.69,15.97,100,9.92,13.59,18,1.88,12.56,3.2,0.34,12.04,100,10.83,22,45,1003.4,2.2,3.4,1,14.6,0,0,231.7,0,1000,313
7/30/2017 13:45,13.6,1833.373,7.304,597.997,2.527,2.002,20.023,24.55,253,21.06,24.08,104,8.74,22.89,101.2,8.7,15.92,100,9.93,13.71,20.1,2.09,12.63,3.6,0.39,12.05,100,10.83,22.4,52,1003.2,2.8,3.7,315,16,0,0,231.7,0,1000,313
7/30/2017 14:00,13.4,1851.327,7.375,643.686,2.72,2.047,20.47,24.5,251.1,20.92,24.06,103.6,8.71,22.86,101.4,8.72,16.16,100,9.88,13.7,18.5,1.93,12.59,2.8,0.3,12.05,100,10.83,22.5,51,1003.3,4.2,4.9,337,16,0,0,231.7,0,1000,313
7/30/2017 14:15,13.6,1771.328,7.057,497.024,2.1,2.062,20.624,24.57,249.5,20.77,24.08,103.7,8.71,22.58,100.9,8.73,16.23,100,9.86,13.76,18.9,1.97,12.46,1.8,0.19,12.05,100,10.83,22.4,51,1003.2,1.9,4.4,42,15.9,0,0,231.7,0,1000,313
7/30/2017 14:30,13.4,1651.118,6.578,483.34,2.042,2.045,20.454,24.6,248.8,20.69,24.11,103.5,8.69,23.1,101.8,8.72,16.12,100,9.89,13.71,17.8,1.86,12.42,1.1,0.11,12.03,100,10.83,22.6,46,1003.2,2.5,4.6,3,15.3,0,0,231.7,0,1000,313
7/30/2017 14:45,13.6,1597.198,6.363,535.466,2.262,2.034,20.337,24.62,248.7,20.68,24.13,103.6,8.7,22.98,101.3,8.7,16.32,100,9.84,13.77,19.8,2.07,12.34,0.1,0.01,12.01,100,10.84,23,48,1003.2,2.2,2.8,354,15.9,0,0,231.7,0,1000,313
7/30/2017 15:00,13.4,1526.363,6.081,404.437,1.709,2.054,20.536,24.68,251.1,20.86,24.14,103.9,8.72,22.56,100.2,8.67,16.06,100,9.9,13.94,23.7,2.46,12.32,0,0,11.97,100,10.85,23.2,48,1003.2,3.1,5.4,311,16.1,0,0,231.7,0,1000,313
7/30/2017 15:15,13.6,1531.712,6.102,517.418,2.186,2.022,20.223,24.8,254.1,21.05,24.16,104.3,8.75,22.99,100.7,8.64,15.95,100,9.92,13.82,21,2.18,12.32,0,0,12.01,100,10.84,23.5,40,1003.1,2.1,4.1,324,15,0,0,231.7,0,1000,313
7/30/2017 15:30,13.7,1496.112,5.96,417.627,1.765,2.033,20.325,24.86,251.9,20.85,24.19,104.4,8.75,23.4,102.8,8.75,15.91,100,9.93,13.86,21.5,2.24,12.3,0,0,11.99,100,10.84,23.6,46,1003.1,1.5,2.8,333,16.1,0,0,231.7,0,1000,313
7/30/2017 15:45,13.6,1326.667,5.285,357.027,1.508,2.097,20.968,24.58,247.9,20.62,24.21,104.1,8.73,23.51,102.6,8.72,15.86,100,9.94,13.6,16.6,1.74,12.31,0,0,11.99,100,10.85,23.8,41,1003,0.7,1.1,342,15.5,0,0,231.7,0,1000,313
7/30/2017 16:00,13.4,1262.453,5.029,364.927,1.542,1.549,15.491,25.03,244.2,20.14,24.27,103.9,8.69,23.73,103.7,8.77,15.6,100,10,13.58,16.1,1.68,12.38,0.6,0.06,12.01,100,10.84,24.2,47,1002.8,1.6,3.4,337,16.8,0,0,231.7,0,1000,313
7/30/2017 16:15,13.6,1163.451,4.635,300.034,1.268,2.075,20.746,24.92,240.9,19.92,24.26,103.7,8.68,23.83,104.1,8.79,15.79,100,9.96,13.47,15,1.57,12.45,1.4,0.15,11.99,100,10.84,24,37,1002.9,0.8,1,48,15,0,0,231.7,0,1000,313
7/30/2017 16:30,13.4,1117.686,4.453,315.05,1.331,2.099,20.992,24.82,249.3,20.65,24.29,104.1,8.71,23.64,102.9,8.72,15.92,100,9.93,13.51,15.5,1.62,12.52,2.2,0.23,11.93,100,10.86,24.5,40,1002.8,1.7,3.2,307,15.9,0,0,231.7,0,1000,313
7/30/2017 16:45,13.8,1020.854,4.067,250.121,1.057,2.105,21.046,24.7,246.7,20.48,24.35,103.7,8.67,23.67,103.3,8.75,15.7,100,9.98,13.47,14.7,1.55,12.27,0.3,0.03,11.9,100,10.87,24.6,50,1002.8,2.8,3.7,336,17.5,0,0,231.7,0,1000,313
7/30/2017 17:00,13.4,926.585,3.691,186.506,0.788,2.114,21.145,25.07,249.3,20.55,24.43,104.4,8.71,23.89,104.3,8.79,15.69,100,9.98,13.37,13,1.36,12.27,0.2,0.03,11.91,100,10.86,24.4,46,1002.7,2.4,4.6,333,16.8,0,0,231.7,0,1000,313
7/30/2017 17:15,13.6,869.458,3.464,207.738,0.878,2.087,20.871,25.13,245.5,20.21,24.34,103.6,8.66,23.4,101.6,8.65,15.62,100,10,13.48,14,1.47,12.36,0.4,0.05,11.92,100,10.86,24.8,44,1002.7,2.4,3.4,349,16.8,0,0,231.7,0,1000,313
7/30/2017 17:30,13.7,762.704,3.038,183.235,0.774,2.136,21.361,25.13,243.5,20.05,24.45,103.3,8.62,23.34,100.6,8.58,15.71,100,9.97,13.45,14.4,1.51,12.24,0.1,0.01,11.97,100,10.85,25.2,43,1002.8,3.5,4.7,349,16.9,0,0,231.7,0,1000,313
7/30/2017 17:45,13.9,671.605,2.676,148.602,0.628,1.545,15.447,25.1,247.5,20.39,24.25,103.7,8.69,23.63,101.4,8.6,15.57,100,10,13.44,14.4,1.51,12.28,0.3,0.03,12.04,100,10.83,24.8,46,1002.7,1.8,2.5,324,17.2,0,0,231.7,0,1000,313
7/30/2017 18:00,13.4,574.109,2.287,126.092,0.533,2.267,22.674,25.1,244.7,20.16,24.26,103,8.62,22.8,98.2,8.46,15.84,100,9.95,13.12,12.4,1.31,12.27,0.2,0.02,12.06,100,10.83,25.1,45,1002.7,2.2,3.4,343,17.1,0,0,231.7,0,1000,313
7/30/2017 18:15,13.6,497.12,1.98,120.969,0.511,1.548,15.478,25.09,246.6,20.32,24.21,103.2,8.65,22.66,97.8,8.44,15.86,100,9.94,13.46,14.5,1.52,12.34,0.3,0.04,12.1,100,10.82,25.1,44,1002.6,1.5,2.8,335,17,0,0,231.7,0,1000,313
7/30/2017 18:30,13.4,406.788,1.621,90.736,0.383,2.232,22.32,25.02,255.1,21.05,24.26,104.5,8.75,22.92,98.2,8.44,15.8,100,9.96,13.71,18.1,1.89,12.38,0.6,0.06,12.11,100,10.81,24.9,41,1002.8,2.3,3.6,298,16.4,0,0,231.7,0,1000,313
7/30/2017 18:45,13.6,324.207,1.292,56.72,0.24,1.547,15.47,25,251.3,20.74,24.24,103.6,8.68,23.4,101.4,8.63,15.71,100,9.98,13.65,16.8,1.76,12.29,0.2,0.03,12.15,100,10.81,24.7,49,1002.8,2.3,3.1,302,17.5,0,0,231.7,0,1000,313
7/30/2017 19:00,13.4,242.309,0.965,41.828,0.177,2.286,22.858,24.91,247.4,20.46,24.2,103.4,8.67,23.44,101.7,8.65,15.83,100,9.95,13.51,15.7,1.64,12.27,0,0,12.18,100,10.8,24.5,51,1003,2.2,3.3,301,17.6,0,0,231.7,0,1000,313
7/30/2017 19:15,13.6,177.645,0.708,28.02,0.118,2.342,23.425,24.91,248.4,20.54,24.19,103.5,8.68,23.74,103.1,8.72,15.71,100,9.98,13.47,14.1,1.47,12.28,0,0,12.15,100,10.8,24,51,1003.1,1.1,2.1,283,17.2,0,0,231.7,0,1000,313
7/30/2017 19:30,13.4,98.235,0.391,14.742,0.062,1.549,15.489,24.9,243.3,20.12,24.19,103,8.63,23.97,104.2,8.77,15.77,100,9.96,13.69,16.4,1.71,12.28,0,0,12.15,100,10.8,23.8,60,1003,0.8,1.2,315,18.5,0,0,231.7,0,1000,313
7/30/2017 19:45,13.6,48.898,0.195,6.71,0.028,1.549,15.487,24.86,242.1,20.04,24.19,102.8,8.62,23.1,101,8.65,15.91,100,9.93,13.46,14.5,1.52,12.28,0,0,12.15,100,10.8,22.3,57,1003,1.7,2.2,239,16.7,0,0,231.7,0,1000,313
7/30/2017 20:00,12.6,18.141,0.072,1.367,0.006,2.298,22.983,24.81,242.2,20.06,24.24,102.4,8.58,23.45,102.4,8.71,15.94,100,9.93,13.5,14.2,1.49,12.3,0.2,0.02,12.14,100,10.81,21.7,64,1003.2,1.5,2.1,271,17.2,0,0,231.7,0,1000,313
7/30/2017 20:15,12.8,2.179,0.009,-0.044,0,2.295,22.953,24.79,240.6,19.94,24.19,102.3,8.58,23.14,100.6,8.61,16.09,100,9.89,13.31,12.7,1.34,12.37,0.7,0.07,12.15,100,10.8,21,65,1003.5,0.9,1.2,248,16.7,0,0,231.7,0,1000,313
7/30/2017 20:30,12.6,-1.693,-0.007,-0.132,-0.001,2.33,23.299,24.73,244.8,20.3,24.22,102.9,8.63,22.99,100,8.58,16.18,100,9.87,13.28,12.3,1.29,12.4,0.9,0.09,12.1,100,10.82,20.5,65,1003.7,1,1.4,265,16.2,0,0,231.7,0,1000,313
7/30/2017 20:45,12.8,-2.413,-0.01,0.256,0.001,2.308,23.083,24.72,246.1,20.42,24.24,102.9,8.62,23.58,102.6,8.7,16.04,100,9.9,13.35,13.4,1.4,12.42,1.1,0.12,12.18,100,10.8,20.1,69,1003.9,1.1,1.7,262,16.4,0,0,231.7,0,1000,313
7/30/2017 21:00,12.6,-3.385,-0.013,0.538,0.002,2.442,24.416,24.66,243.2,20.2,24.22,101.9,8.54,23.08,101,8.65,16.05,100,9.9,13.34,13.1,1.37,12.43,1.2,0.13,12.18,100,10.8,19.4,72,1004,1.1,1.4,230,16.1,0,0,231.7,0,1000,313
7/30/2017 21:15,12.8,-2.674,-0.011,0.82,0.003,2.335,23.348,24.64,241.5,20.07,24.24,101.1,8.47,23.08,100.3,8.59,15.74,100,9.97,13.27,12.1,1.27,12.33,0.3,0.03,12.17,100,10.8,19.1,72,1004.3,1.1,1.5,240,15.9,0,0,231.7,0,1000,313
7/30/2017 21:30,12.6,-3.469,-0.014,0.705,0.003,2.367,23.668,24.61,237.3,19.73,24.28,100.2,8.39,22.91,98.6,8.48,15.71,100,9.98,13.35,12.7,1.34,12.37,0.2,0.02,12.16,100,10.8,18.9,72,1004.3,0.8,1.1,233,15.7,0,0,231.7,0,1000,313
7/30/2017 21:45,12.8,-3.881,-0.015,1.252,0.005,2.551,25.506,24.59,235.5,19.59,24.32,100,8.37,22.42,95.8,8.32,15.83,100,9.95,13.21,12,1.27,12.4,0.6,0.06,12.16,100,10.8,18.3,76,1004.3,0.8,1.4,229,15.7,0,0,231.7,0,1000,313
7/30/2017 22:00,12.6,-3.264,-0.013,1.129,0.005,2.35,23.505,24.54,236,19.65,24.34,100.2,8.38,22.07,95.3,8.33,15.94,100,9.92,13.01,9,0.95,12.4,0.4,0.05,12.15,100,10.8,17.9,75,1004.3,0.6,0.8,237,15.2,0,0,231.7,0,1000,313
7/30/2017 22:15,12.8,-4.115,-0.016,1.261,0.005,2.77,27.697,24.53,235.5,19.61,24.26,100.1,8.38,22.86,98,8.43,16.03,100,9.91,12.95,7.9,0.83,12.39,0.4,0.04,12.14,100,10.81,17.6,78,1004.3,1.1,1.4,241,15.2,0,0,231.7,0,1000,313
7/30/2017 22:30,12.6,-3.684,-0.015,1.719,0.007,2.397,23.967,24.48,236.6,19.72,24.38,101.3,8.46,23.03,99.8,8.56,15.93,100,9.93,12.97,8.2,0.87,12.27,0,0,11.95,100,10.85,17.3,77,1004.4,1.1,1.2,239,14.8,0,0,231.7,0,1000,313
7/30/2017 22:45,12.7,-3.563,-0.014,2.134,0.009,2.369,23.693,24.48,237.8,19.83,24.33,101.4,8.48,22.99,98.9,8.49,15.94,100,9.93,12.94,8,0.85,12.28,0,0,11.92,100,10.86,17.2,80,1004.3,0.6,1,299,15,0,0,231.7,0,1000,313
7/30/2017 23:00,12.6,-3.675,-0.015,2.151,0.009,2.373,23.731,24.47,235.9,19.67,24.37,100.1,8.37,22.14,96.2,8.39,15.94,100,9.93,12.88,7.6,0.81,12.28,0,0,11.9,100,10.87,17.2,83,1004.4,0.9,1.6,268,15.4,0,0,231.7,0,1000,313
7/30/2017 23:15,12.8,-4.274,-0.017,1.86,0.008,2.415,24.148,24.44,234,19.53,24.34,97,8.11,21.46,94.7,8.38,15.95,100,9.92,12.84,7.4,0.78,12.25,0,0,11.9,100,10.87,17.4,85,1004.4,1.1,1.5,233,15.8,0,0,231.7,0,1000,313
7/30/2017 23:30,12.5,-4.994,-0.02,2.081,0.009,2.603,26.026,24.42,234.1,19.54,24.35,98.5,8.23,21.65,95.2,8.38,15.96,100,9.92,12.86,7.5,0.8,12.25,0,0,11.92,100,10.86,17.1,83,1004.4,1.2,1.5,212,15.3,0,0,231.7,0,1000,313
7/30/2017 23:45,12.7,-4.32,-0.017,2.24,0.009,2.495,24.954,24.4,236,19.71,24.34,99.4,8.31,20.9,91.8,8.21,15.91,100,9.93,12.9,7.7,0.82,12.26,0,0,11.95,100,10.85,16.8,88,1004.4,1.2,2.2,181,15.6,0,0,231.7,0,1000,313
7/31/2017 0:00,12.6,-4.601,-0.018,1.596,0.007,2.391,23.905,24.38,234.7,19.6,24.31,99.5,8.32,21.16,94.1,8.37,15.87,100,9.94,12.94,8.1,0.86,12.24,0,0,12,100,10.84,16.2,89,1004.6,1.4,1.8,228,15.1,0,0,231.7,0,1000,313
7/31/2017 0:15,12.7,-4.171,-0.017,2.248,0.009,2.39,23.901,24.33,233.1,19.48,24.31,98.8,8.26,21.21,94,8.36,15.93,100,9.93,12.93,8.1,0.86,12.24,0,0,12.04,100,10.83,15.9,88,1004.7,1.3,1.6,212,14.7,0,0,231.7,0,1000,313
7/31/2017 0:30,12.5,-4.891,-0.019,2.61,0.011,2.525,25.254,24.35,236.7,19.78,24.3,98.4,8.23,21.14,94.3,8.4,15.91,100,9.93,12.93,8,0.85,12.24,0,0,12.05,100,10.83,15.5,90,1004.7,1.6,2.4,223,14.5,0,0,231.7,0,1000,313
7/31/2017 0:45,12.7,-4.161,-0.017,2.707,0.011,2.284,22.842,24.3,236.3,19.76,24.27,99.9,8.36,20.96,93.1,8.32,15.84,100,9.95,12.93,7.7,0.82,12.21,0,0,12.05,100,10.83,15.8,93,1004.6,1.6,1.8,208,15.1,0,0,231.7,0,1000,313
7/31/2017 1:00,12.5,-4.423,-0.018,2.68,0.011,2.461,24.609,24.29,235,19.66,24.26,99.4,8.32,20.79,91.9,8.24,15.86,100,9.94,13,8.6,0.91,12.24,0,0,12.04,100,10.83,15.2,94,1004.7,0.6,0.9,223,14.6,0,0,231.7,0,1000,313
7/31/2017 1:15,12.7,-3.909,-0.016,3.245,0.014,2.292,22.923,24.29,235.1,19.67,24.25,99.9,8.37,20.78,92.1,8.26,15.69,100,9.98,12.98,8.4,0.89,12.27,0,0,12.04,100,10.83,15.1,95,1004.7,0.7,1.2,217,14.6,0,0,231.7,0,1000,313
7/31/2017 1:30,12.5,-5.059,-0.02,2.821,0.012,2.362,23.615,24.26,233.8,19.57,24.24,99.6,8.34,20.76,92,8.26,15.72,100,9.97,13.02,8.9,0.94,12.32,0,0,12.13,100,10.81,15.5,93,1004.6,1.2,2,266,14.8,0,0,231.7,0,1000,313
7/31/2017 1:45,12.7,-4.264,-0.017,2.672,0.011,2.37,23.702,24.26,234.2,19.61,24.21,99.5,8.34,20.76,92,8.25,15.58,100,10,13.07,9.3,0.98,12.37,0,0,12.09,100,10.82,15.5,94,1004.7,0.6,1.3,270,14.9,0,0,231.7,0,1000,313
7/31/2017 2:00,12.5,-5.115,-0.02,2.654,0.011,2.292,22.916,24.21,232.9,19.51,24.19,99.6,8.35,20.76,92.5,8.3,15.55,100,10.01,13.12,9.8,1.04,12.4,0.1,0.01,12.15,100,10.8,15.5,94,1004.6,1.1,1.7,218,14.9,0,0,231.7,0,1000,313
7/31/2017 2:15,12.7,-4.797,-0.019,2.575,0.011,2.353,23.526,24.21,233.9,19.6,24.18,99.6,8.35,20.68,92.4,8.3,15.32,100,10.06,13.14,9.9,1.04,12.41,0.3,0.03,12.09,100,10.82,15.4,95,1004.6,1,1.3,280,14.8,0,0,231.7,0,1000,313
7/31/2017 2:30,12.5,-4.741,-0.019,2.68,0.011,2.375,23.748,24.21,234.3,19.64,24.14,99.5,8.35,20.78,92.8,8.32,15.32,100,10.06,13.11,10.1,1.07,12.43,0.6,0.06,12.09,100,10.82,15.1,93,1004.6,0.9,1.8,283,14.4,0,0,231.7,0,1000,313
7/31/2017 2:45,12.7,-4.33,-0.017,2.601,0.011,2.393,23.929,24.17,233.8,19.61,24.15,99.4,8.33,20.66,92.7,8.33,15.22,100,10.08,13.2,10.4,1.09,12.45,0.8,0.09,12.05,100,10.83,14.8,94,1004.5,1.2,1.7,247,14.2,0,0,231.7,0,1000,313
7/31/2017 3:00,12.5,-4.984,-0.02,3.015,0.013,2.388,23.876,24.18,234.6,19.67,24.14,99.5,8.35,20.78,93.1,8.34,15.22,100,10.08,13.23,10.8,1.14,12.52,1.1,0.11,12.06,100,10.83,14.9,94,1004.5,1.4,1.9,283,14.4,0,0,231.7,0,1000,313
7/31/2017 3:15,12.7,-4.217,-0.017,2.892,0.012,2.272,22.72,24.16,233.2,19.56,24.11,99.6,8.36,20.71,93,8.35,15.19,100,10.09,13.14,10.2,1.07,12.52,1.5,0.16,12.1,100,10.82,14.6,94,1004.4,1.5,2,233,14.1,0,0,231.7,0,1000,313
7/31/2017 3:30,12.5,-4.956,-0.02,3.65,0.015,2.259,22.588,24.15,232.8,19.53,24.11,99.4,8.35,20.68,93.9,8.43,15.14,100,10.1,13.1,9.7,1.02,12.51,1.4,0.15,12.14,100,10.81,14.4,95,1004.4,1.4,1.8,241,13.8,0,0,231.7,0,1000,313
7/31/2017 3:45,12.7,-5.368,-0.021,3.439,0.015,2.375,23.75,24.14,231.5,19.42,24.08,99.2,8.33,20.76,94.2,8.45,15.11,100,10.11,13.07,9.2,0.97,12.53,1.6,0.17,12.15,100,10.8,14.4,95,1004.2,1.1,1.7,248,13.9,0,0,231.7,0,1000,313
